ham,"Go until jurong point, crazy.. Available only in bugis n great world la."
ham,"Ok lar... Joking wif u oni."
spam,"Free entry in 2 a wkly comp to win FA Cup final tickets. Text WIN to 87121 now."
ham,"U dun say so early hor... U c already then say."
ham,"Nah I don't think he goes to usf, he lives around here though."
spam,"FreeMsg! Hey there darling, it's been 3 weeks now and no word back."
ham,"Even my brother is not like to speak with me."
ham,"As per your request your callertune has been activated."
spam,"Congratulations! You have won a $1000 Walmart gift card. Reply CLAIM."
ham,"Are we still meeting for lunch today?"
spam,"URGENT! Your mobile number has won £2000 cash prize."
ham,"Can you pick up some milk on your way home?"
spam,"You have been selected for a free vacation. Call now."
ham,"I'll call you later when I reach home."
spam,"Exclusive offer! Buy 1 get 1 free. Limited time only."
ham,"Don't forget to bring your notebook tomorrow."
spam,"Win a brand new iPhone. Text APPLE to 80085."
ham,"Thanks for helping me with the assignment."
spam,"Your loan has been approved. Contact us immediately."
ham,"I'm stuck in traffic, will be there in 20 mins."
spam,"You are our lucky customer. Receive cash reward now."
ham,"Let's watch a movie this weekend."
spam,"Get free ringtone by texting MUSIC to 54321."
ham,"Please send me the notes from today's class."
spam,"Claim your free coupon worth $500."
ham,"I reached the station safely."
spam,"Limited offer! Lowest insurance rates guaranteed."
ham,"What's your plan for tonight?"
spam,"Winner! You have won tickets to the concert."
ham,"Happy birthday! Have a wonderful day."
spam,"Earn $5000 per week from home. Join now."
ham,"Can we reschedule the meeting to tomorrow?"
spam,"Final reminder! Your prize is waiting."
ham,"I am studying in the library."
spam,"Free access to premium content. Click now."
ham,"Did you complete the project report?"
spam,"Congratulations! You've been chosen for a cash bonus."
ham,"Please call me when you get free."
spam,"Get a free Netflix subscription. Limited offer."
ham,"I will reach by 7 pm."
spam,"You won a luxury holiday package. Call today."
ham,"Have you eaten your dinner?"
spam,"Claim your cashback reward instantly."
ham,"The exam schedule has been announced."
spam,"Lowest loan rates available. Apply now."
ham,"I am waiting outside your house."
spam,"Win guaranteed gifts by participating today."
ham,"Let's discuss the presentation tomorrow."
spam,"Get free mobile recharge worth ₹500."
ham,"The weather is very nice today."
spam,"You have won a shopping voucher."
ham,"Can you send me the document?"
spam,"Special promotion! Buy now and save 70%."
ham,"I will be late due to rain."
spam,"Free entry into our lucky draw."
ham,"Don't worry, everything will be fine."
spam,"Your account qualifies for a free upgrade."
ham,"Meet me near the college gate."
spam,"Exclusive deal just for you. Act now."
ham,"I have submitted the assignment."
spam,"Win cash prizes every day. Register now."
ham,"Where are you right now?"
spam,"Get free movie tickets instantly."
ham,"The train has arrived on platform 2."
spam,"You are selected for a free gift hamper."
ham,"Please bring your ID card tomorrow."
spam,"Earn money online without investment."
ham,"I am attending the workshop."
spam,"Limited stock available. Order today."
ham,"Let's go for a walk in the evening."
spam,"Congratulations! You have won a free smartphone."
ham,"I completed the lab work."
spam,"Claim your reward before midnight."
ham,"The meeting starts at 10 am."
spam,"You have received a bonus payment."
ham,"Can you help me with this question?"
spam,"Special offer! Free shipping on all products."
ham,"I am at the bus stop."
spam,"You are eligible for a free credit card."
ham,"Let's prepare together for the exam."
spam,"Win a free laptop by entering our contest."
ham,"I will send the file tonight."
spam,"Urgent! Verify your bank account details now."
ham,"Have a safe journey."
spam,"Get free internet data pack."
ham,"The class has been postponed."
spam,"You have won a mystery gift."
ham,"Please check your email."
spam,"Exclusive membership offer available now."
ham,"I am feeling better today."
spam,"Claim your free travel voucher."
ham,"Let's have tea after class."
spam,"Your number has been selected for a prize."
ham,"Thank you for your support."
spam,"Free recharge available. Reply YES."
ham,"I reached home safely."
spam,"Congratulations! You are our lucky winner."
ham,"See you tomorrow in college."
spam,"Last chance to claim your reward."
ham,"Can you share the lecture slides?"
spam,"You have won ₹50,000 cash. Call now."
ham,"Good night and sweet dreams."
spam,"Free gift waiting for you. Text GIFT to 77777."